contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,yf_iv
NFLX260710C00040000,2026-07-10,call,40.0,0.0,0.0,35.84,2.0,0.0,1.0000000000000003e-05
NFLX260710C00045000,2026-07-10,call,45.0,0.0,0.0,30.96,51.0,0.0,1.0000000000000003e-05
NFLX260710C00050000,2026-07-10,call,50.0,0.0,0.0,27.25,2.0,0.0,1.0000000000000003e-05
NFLX260710C00060000,2026-07-10,call,60.0,0.0,0.0,16.22,27.0,0.0,1.0000000000000003e-05
NFLX260710C00061000,2026-07-10,call,61.0,0.0,0.0,15.32,3.0,0.0,1.0000000000000003e-05
NFLX260710C00062000,2026-07-10,call,62.0,0.0,0.0,14.42,3.0,0.0,1.0000000000000003e-05
NFLX260710C00063000,2026-07-10,call,63.0,0.0,0.0,13.52,6.0,0.0,1.0000000000000003e-05
NFLX260710C00064000,2026-07-10,call,64.0,0.0,0.0,12.61,4.0,0.0,1.0000000000000003e-05
NFLX260710C00065000,2026-07-10,call,65.0,0.0,0.0,10.78,5.0,0.0,1.0000000000000003e-05
NFLX260710C00066000,2026-07-10,call,66.0,0.0,0.0,10.0,16.0,0.0,1.0000000000000003e-05
NFLX260710C00067000,2026-07-10,call,67.0,0.0,0.0,9.05,18.0,0.0,1.0000000000000003e-05
NFLX260710C00068000,2026-07-10,call,68.0,0.0,0.0,7.99,2.0,0.0,1.0000000000000003e-05
NFLX260710C00069000,2026-07-10,call,69.0,0.0,0.0,6.88,11.0,0.0,1.0000000000000003e-05
NFLX260710C00070000,2026-07-10,call,70.0,0.0,0.0,5.97,78.0,0.0,1.0000000000000003e-05
NFLX260710C00071000,2026-07-10,call,71.0,0.0,0.0,4.85,12.0,0.0,1.0000000000000003e-05
NFLX260710C00072000,2026-07-10,call,72.0,0.0,0.0,3.94,30.0,0.0,1.0000000000000003e-05
NFLX260710C00073000,2026-07-10,call,73.0,0.0,0.0,2.85,305.0,0.0,1.0000000000000003e-05
NFLX260710C00074000,2026-07-10,call,74.0,0.0,0.0,1.96,573.0,0.0,1.0000000000000003e-05
NFLX260710C00075000,2026-07-10,call,75.0,0.0,0.0,1.22,4971.0,0.0,1.0000000000000003e-05
NFLX260710C00076000,2026-07-10,call,76.0,0.0,0.0,0.73,10214.0,0.0,0.0312596875
NFLX260710C00077000,2026-07-10,call,77.0,0.0,0.0,0.4,20557.0,0.0,0.062509375
NFLX260710C00078000,2026-07-10,call,78.0,0.0,0.0,0.2,13369.0,0.0,0.12500875
NFLX260710C00079000,2026-07-10,call,79.0,0.0,0.0,0.09,10618.0,0.0,0.12500875
NFLX260710C00080000,2026-07-10,call,80.0,0.0,0.0,0.06,9658.0,0.0,0.2500075
NFLX260710C00081000,2026-07-10,call,81.0,0.0,0.0,0.03,1576.0,0.0,0.2500075
NFLX260710C00082000,2026-07-10,call,82.0,0.0,0.0,0.02,5443.0,0.0,0.2500075
NFLX260710C00083000,2026-07-10,call,83.0,0.0,0.0,0.02,841.0,0.0,0.2500075
NFLX260710C00084000,2026-07-10,call,84.0,0.0,0.0,0.01,674.0,0.0,0.2500075
NFLX260710C00085000,2026-07-10,call,85.0,0.0,0.0,0.01,710.0,0.0,0.500005
NFLX260710C00086000,2026-07-10,call,86.0,0.0,0.0,0.01,373.0,0.0,0.500005
NFLX260710C00087000,2026-07-10,call,87.0,0.0,0.0,0.01,23.0,0.0,0.500005
NFLX260710C00088000,2026-07-10,call,88.0,0.0,0.0,0.01,9.0,0.0,0.500005
NFLX260710C00089000,2026-07-10,call,89.0,0.0,0.0,0.01,2.0,0.0,0.500005
NFLX260710C00090000,2026-07-10,call,90.0,0.0,0.0,0.01,137.0,0.0,0.500005
NFLX260710C00091000,2026-07-10,call,91.0,0.0,0.0,0.01,125.0,0.0,0.500005
NFLX260710C00092000,2026-07-10,call,92.0,0.0,0.0,0.01,3.0,0.0,0.500005
NFLX260710C00093000,2026-07-10,call,93.0,0.0,0.0,0.02,26.0,0.0,0.500005
NFLX260710C00094000,2026-07-10,call,94.0,0.0,0.0,0.04,1.0,0.0,0.500005
NFLX260710C00095000,2026-07-10,call,95.0,0.0,0.0,0.02,22.0,0.0,0.500005
NFLX260710C00096000,2026-07-10,call,96.0,0.0,0.0,0.01,14.0,0.0,0.500005
NFLX260710C00097000,2026-07-10,call,97.0,0.0,0.0,0.01,5.0,0.0,0.500005
NFLX260710C00098000,2026-07-10,call,98.0,0.0,0.0,0.01,6.0,0.0,0.500005
NFLX260710C00099000,2026-07-10,call,99.0,0.0,0.0,0.01,45.0,0.0,0.500005
NFLX260710C00100000,2026-07-10,call,100.0,0.0,0.0,0.01,31.0,0.0,0.500005
NFLX260710C00105000,2026-07-10,call,105.0,0.0,0.0,0.01,4.0,0.0,0.500005
