contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,yf_iv
NFLX260717C00005000,2026-07-17,call,5.0,66.85,69.9,68.25,1.0,16.0,19.01562905761719
NFLX260717C00007500,2026-07-17,call,7.5,64.9,67.0,65.84,1.0,5.0,13.914063803710937
NFLX260717C00010000,2026-07-17,call,10.0,62.4,64.25,63.62,1.0,2.0,10.960940649414065
NFLX260717C00012500,2026-07-17,call,12.5,59.9,61.85,65.66,4.0,5.0,10.093753691406253
NFLX260717C00015000,2026-07-17,call,15.0,57.4,59.25,58.23,1.0,46.0,8.703129560546873
NFLX260717C00017500,2026-07-17,call,17.5,54.9,56.85,55.71,,25.0,8.191411130371094
NFLX260717C00020000,2026-07-17,call,20.0,52.4,54.7,53.56,7.0,37.0,8.292973566894531
NFLX260717C00022500,2026-07-17,call,22.5,49.9,51.8,50.91,,6.0,6.695314130859376
NFLX260717C00025000,2026-07-17,call,25.0,0.0,0.0,69.0,1.0,0.0,1.0000000000000003e-05
NFLX260717C00030000,2026-07-17,call,30.0,42.4,44.5,42.68,1.0,12.0,5.570315537109375
NFLX260717C00035000,2026-07-17,call,35.0,37.4,39.5,38.5,183.0,44.0,4.722660346679687
NFLX260717C00040000,2026-07-17,call,40.0,33.55,34.25,33.85,244.0,79.0,2.7968780078125004
NFLX260717C00045000,2026-07-17,call,45.0,27.4,29.35,27.71,1.0,68.0,3.1542989892578124
NFLX260717C00050000,2026-07-17,call,50.0,23.1,24.2,23.81,6.0,168.0,2.410160224609375
NFLX260717C00055000,2026-07-17,call,55.0,18.15,19.25,19.85,3.0,50.0,1.970703271484375
NFLX260717C00060000,2026-07-17,call,60.0,13.9,14.15,12.9,10.0,391.0,1.2734411328124997
NFLX260717C00061000,2026-07-17,call,61.0,12.95,13.1,13.1,14.0,148.0,1.19141029296875
NFLX260717C00062000,2026-07-17,call,62.0,11.85,12.15,11.96,226.0,157.0,1.08203583984375
NFLX260717C00063000,2026-07-17,call,63.0,10.8,11.2,10.65,40.0,102.0,1.001958115234375
NFLX260717C00064000,2026-07-17,call,64.0,9.65,10.3,10.96,57.0,83.0,0.8945323046874999
