contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,yf_iv
SPY260709C00510000,2026-07-09,call,510.0,0.0,0.0,233.17,1.0,0.0,1.0000000000000003e-05
SPY260709C00625000,2026-07-09,call,625.0,0.0,0.0,120.5,30.0,0.0,1.0000000000000003e-05
SPY260709C00635000,2026-07-09,call,635.0,0.0,0.0,105.41,,0.0,1.0000000000000003e-05
SPY260709C00650000,2026-07-09,call,650.0,0.0,0.0,95.51,,0.0,1.0000000000000003e-05
SPY260709C00675000,2026-07-09,call,675.0,0.0,0.0,65.21,2.0,0.0,1.0000000000000003e-05
SPY260709C00685000,2026-07-09,call,685.0,0.0,0.0,66.12,1.0,0.0,1.0000000000000003e-05
SPY260709C00690000,2026-07-09,call,690.0,0.0,0.0,50.63,15.0,0.0,1.0000000000000003e-05
SPY260709C00695000,2026-07-09,call,695.0,0.0,0.0,39.92,,0.0,1.0000000000000003e-05
SPY260709C00700000,2026-07-09,call,700.0,0.0,0.0,45.5,60.0,0.0,1.0000000000000003e-05
SPY260709C00705000,2026-07-09,call,705.0,0.0,0.0,27.69,44.0,0.0,1.0000000000000003e-05
SPY260709C00707000,2026-07-09,call,707.0,0.0,0.0,39.01,,0.0,1.0000000000000003e-05
SPY260709C00710000,2026-07-09,call,710.0,0.0,0.0,35.97,6.0,0.0,1.0000000000000003e-05
SPY260709C00712000,2026-07-09,call,712.0,0.0,0.0,39.97,1.0,0.0,1.0000000000000003e-05
SPY260709C00715000,2026-07-09,call,715.0,0.0,0.0,35.44,1.0,0.0,1.0000000000000003e-05
SPY260709C00717000,2026-07-09,call,717.0,0.0,0.0,28.24,3.0,0.0,1.0000000000000003e-05
SPY260709C00719000,2026-07-09,call,719.0,0.0,0.0,22.38,3.0,0.0,1.0000000000000003e-05
SPY260709C00720000,2026-07-09,call,720.0,0.0,0.0,25.35,1.0,0.0,1.0000000000000003e-05
SPY260709C00722000,2026-07-09,call,722.0,0.0,0.0,20.99,2.0,0.0,1.0000000000000003e-05
